MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis
METH-ACETATE-PWY	Respiration
METHANOGENESIS-PWY	Respiration
METHFORM-PWY	Respiration
METHGLYUT-PWY	Aldehyde Degradation
METHIONINE-DEG1-PWY	Amino Acid Degradation
METHYLGALLATE-DEGRADATION-PWY	Aromatic Compound Degradation
N2FIX-PWY	Inorganic Nutrient Metabolism
NAD-BIOSYNTHESIS-II	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
NAD-BIOSYNTHESIS-III	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
NADPHOS-DEPHOS-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
NADPHOS-DEPHOS-PWY-1	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
NADSYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
NAGLIPASYN-PWY	Cell Structure Biosynthesis
NONMEVIPP-PWY	Secondary Metabolite Biosynthesis
NONOXIPENT-PWY	Pentose Phosphate Pathways
NOPALINEDEG-PWY	Secondary Metabolite Degradation
NPGLUCAT-PWY	Carbohydrate Degradation
OANTIGEN-PWY	Carbohydrate Biosynthesis
OCTOPINEDEG-PWY	Secondary Metabolite Degradation
ORN-AMINOPENTANOATE-CAT-PWY	Amino Acid Biosynthesis
ORNARGDEG-PWY	Amino Acid Degradation
ORNDEG-PWY	Amine and Polyamine Degradation
OXIDATIVEPENT-PWY	Pentose Phosphate Pathways
P101-PWY	Amine and Polyamine Biosynthesis
P105-PWY	TCA cycle
P108-PWY	Fermentation
P121-PWY	Nucleoside and Nucleotide Biosynthesis
P122-PWY	Fermentation
P124-PWY	Fermentation
P125-PWY	Fermentation
P141-PWY	Aromatic Compound Degradation
P142-PWY	Fermentation
P161-PWY	Fermentation
P162-PWY	Fermentation
P163-PWY	Fermentation
P164-PWY	Nucleoside and Nucleotide Degradation
P181-PWY	Degradation/Utilization/Assimilation - Other
P183-PWY	Aromatic Compound Degradation
P184-PWY	Aromatic Compound Degradation
P2-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
P201-PWY	Degradation/Utilization/Assimilation - Other
P203-PWY	Inorganic Nutrient Metabolism
P21-PWY	Pentose Phosphate Pathways
P221-PWY	Degradation/Utilization/Assimilation - Other
P222-PWY	Inorganic Nutrient Metabolism
P224-PWY	Inorganic Nutrient Metabolism
P23-PWY	C1 Compound Utilization and Assimilation
P241-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
P261-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
P281-PWY	Aromatic Compound Degradation
P282-PWY	Electron Transfer
P283-PWY	Chemoautotrophic Energy Metabolism
P3-PWY	Aromatic Compound Degradation
P301-PWY	Chemoautotrophic Energy Metabolism
P302-PWY	Carbohydrate Degradation
P303-PWY	Inorganic Nutrient Metabolism
P321-PWY	Aromatic Compound Degradation
P341-PWY	Glycolysis
P342-PWY	Aromatic Compound Degradation
P343-PWY	Aromatic Compound Degradation
P344-PWY	Degradation/Utilization/Assimilation - Other
P345-PWY	Aromatic Compound Degradation
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)
P4-PWY	Amino Acid Biosynthesis
P401-PWY	Degradation/Utilization/Assimilation - Other
P41-PWY	Fermentation
P42-PWY	C1 Compound Utilization and Assimilation
P421-PWY	Aromatic Compound Degradation
P441-PWY	Carboxylate Degradation
P461-PWY	Fermentation
P481-PWY	Degradation/Utilization/Assimilation - Other
P482-PWY	Degradation/Utilization/Assimilation - Other
P483-PWY	Inorganic Nutrient Metabolism
P541-PWY	Amine and Polyamine Biosynthesis
P542-PWY	Amine and Polyamine Degradation
P561-PWY	Amine and Polyamine Degradation
P562-PWY	Secondary Metabolite Degradation
